Key,English,German,French,Spanish,Chinese,Japanese,Korean,Italian,Polish,Russian,Portugese,Finnish,Arabic,Chinese
Cancel,Cancel,Abbrechen,Annuler,Cancelar,取消,キャンセル,취소,Annullamento,Anuluj,Отмена,Cancelar,Peruuta,يلغي,取消
Manage Subscription,Manage Subscription,Abonnement verwalten,Gérer l'abonnement,Gestionar suscripción,管理订阅,サブスクリプションの管理,구독 관리,Gestire l'abbonamento,Zarządzaj subskrypcją,Управление подпиской,Gerenciar Assinatura,Hallitse tilausta,إدارة الاشتراك,管理訂閱
Terms of Service,Terms of Service,Terms of Service,Terms of Service,Terms of Service,服务条款,利用規約,서비스 약관,Terms of Service,Terms of Service,Terms of Service,Termos de Serviço,Käyttöehdot,شروط الخدمة,服務條款
Privacy Policy,Privacy Policy,Privacy Policy,Privacy Policy,Privacy Policy,隐私政策,プライバシーポリシー,개인정보 보호정책,Privacy Policy,Privacy Policy,Privacy Policy,Privacy Policy,Privacy Policy,سياسة الخصوصية,隱私政策
Subscription Terms,Subscription Terms,Abonnement-Bedingungen,Conditions d'abonnement,Condiciones de suscripción,订阅条款,購読規約,구독 약관,Condizioni di abbonamento,Warunki subskrypcji,Условия подписки,Condições de subscrição,Tilausehdot,شروط الاشتراك,訂閱條款
Upgrade Now,Upgrade Now,Jetzt upgraden,Mettre à niveau maintenant,Actualizar ahora,立即升级,今すぐアップグレード,지금 업그레이드,Aggiorna ora,Uaktualnij teraz,Обновить сейчас,Atualizar agora,Päivitä nyt,تحديث الآن,現在升級
Thanks for your support,Thanks for your support,Vielen Dank für Ihre Unterstützung,Merci pour votre soutien,Gracias por su apoyo,感谢您的支持,ご声援ありがとうございました,여러분의 성원에 감사드립니다.,Grazie per il vostro sostegno,Dziękujemy za wsparcie,Спасибо за поддержку,Obrigado pelo vosso apoio,Kiitos tuestanne,شكرا لدعمك,感謝您的支持
Restore Purchases,Restore Purchases,Käufe wiederherstellen,Restaurer les achats,Restaurar compras,恢复购买,購入履歴の復元,구매 복원,Ripristino degli acquisti,Przywrócenie zakupów,Восстановление покупок,Restaurar Compras,Palauta ostokset,استعادة المشتريات,恢復購買
Restore,Restore,Wiederherstellen,Restaurer,Restaurar,恢复,リストア,복원,Ripristino,Przywróć,Восстановить,Restaurar,Palauta,استعادة,恢復
Continue,Continue,Weiter,Continuer,Continúe en,继续,れて,계속하기,Continua,Kontynuuj,Продолжить,Continuar,Jatka,يكمل,繼續
Subscription Terms,Subscription Terms,Abonnement-Bedingungen,Conditions d'abonnement,Condiciones de suscripción,订阅条款,購読規約,구독 약관,Condizioni di abbonamento,Warunki subskrypcji,Условия подписки,Condições de subscrição,Tilausehdot,شروط الاشتراك,訂閱條款
Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period. Payment will be charged to iTunes Account at confirmation of purchase. Account will be charged for renewal within 24-hours prior to the end of the current period for the full price. Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user's Account Settings after purchase.,Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period. Payment will be charged to iTunes Account at confirmation of purchase. Account will be charged for renewal within 24-hours prior to the end of the current period for the full price. Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user's Account Settings after purchase.,"Das Abonnement verlängert sich automatisch, wenn die automatische Verlängerung nicht mindestens 24 Stunden vor Ablauf des aktuellen Zeitraums deaktiviert wird. Die Zahlung wird dem iTunes-Konto bei der Kaufbestätigung belastet. Bei einer Verlängerung innerhalb von 24 Stunden vor dem Ende des aktuellen Zeitraums wird das Konto mit dem vollen Preis belastet. Abonnements können vom Nutzer verwaltet und die automatische Verlängerung kann nach dem Kauf in den Kontoeinstellungen des Nutzers deaktiviert werden.",L'abonnement est automatiquement renouvelé sauf si le renouvellement automatique est désactivé au moins 24 heures avant la fin de la période en cours. Le paiement sera débité du compte iTunes lors de la confirmation de l'achat. Le compte sera débité pour le renouvellement dans les 24 heures précédant la fin de la période en cours pour le prix total. Les abonnements peuvent être gérés par l'utilisateur et le renouvellement automatique peut être désactivé en allant dans les paramètres du compte de l'utilisateur après l'achat.,La suscripción se renueva automáticamente a menos que la renovación automática se desactive al menos 24 horas antes del final del periodo actual. El pago se cargará en la cuenta de iTunes al confirmar la compra. La renovación se cargará a la cuenta 24 horas antes de que finalice el periodo en curso por el precio total. El usuario puede gestionar las suscripciones y desactivar la renovación automática accediendo a los Ajustes de la cuenta del usuario tras la compra.,除非在当前期限结束前至少 24 小时关闭自动续订功能，否则订阅将自动续订。付款将在确认购买时从 iTunes 帐户中扣除。账户将在当前期限结束前 24 小时内按全价收取续订费用。用户可对订阅进行管理，并可在购买后进入用户的 帐户设置 关闭自动续订。,サブスクリプションは、現在の期間が終了する24時間前までに自動更新をオフにしない限り、自動的に更新されます。お支払いは、購入確認時にiTunesアカウントに請求されます。アカウントには、現在の期間終了の24時間前までに更新のための料金が全額請求されます。サブスクリプションはユーザーが管理することができ、自動更新は、購入後にユーザーのアカウント設定にアクセスしてオフにすることができます。,"현재 기간이 종료되기 최소 24시간 전에 자동 갱신을 해제하지 않으면 구독이 자동으로 갱신됩니다. 결제는 구매 확인 시 iTunes 계정으로 청구됩니다. 현재 기간이 끝나기 24시간 이내에 계정에 전체 요금에 대한 갱신 비용이 청구됩니다. 구독은 사용자가 관리할 수 있으며, 구매 후 사용자의 계정 설정으로 이동하여 자동 갱신을 해제할 수 있습니다.",L'abbonamento si rinnova automaticamente a meno che il rinnovo automatico non venga disattivato almeno 24 ore prima della fine del periodo corrente. Il pagamento sarà addebitato sul Conto iTunes al momento della conferma dell'acquisto. Il rinnovo dell'abbonamento sarà addebitato al prezzo pieno entro le 24 ore precedenti la fine del periodo in corso. Gli abbonamenti possono essere gestiti dall'utente e il rinnovo automatico può essere disattivato accedendo alle Impostazioni dell'account dell'utente dopo l'acquisto.,"Subskrypcja odnawia się automatycznie, chyba że automatyczne odnawianie zostanie wyłączone na co najmniej 24 godziny przed końcem bieżącego okresu. Płatność zostanie pobrana z Konta iTunes po potwierdzeniu zakupu. Konto zostanie obciążone opłatą za odnowienie w ciągu 24 godzin przed końcem bieżącego okresu za pełną cenę. Subskrypcje mogą być zarządzane przez użytkownika, a automatyczne odnawianie może być wyłączone poprzez przejście do Ustawień Konta użytkownika po dokonaniu zakupu.","Подписка автоматически продлевается, если автопродление не отключено не менее чем за 24 часа до окончания текущего периода. Оплата будет списана с Учетной записи iTunes при подтверждении покупки. За продление подписки в течение 24 часов до окончания текущего периода со счета будет снята полная стоимость. Пользователь может управлять подписками и отключать автопродление, зайдя в Настройки учетной записи пользователя после покупки.","A subscrição é renovada automaticamente, exceto se a renovação automática for desactivada pelo menos 24 horas antes do fim do período atual. O pagamento será debitado na Conta iTunes aquando da confirmação da compra. A conta será cobrada para renovação no prazo de 24 horas antes do final do período atual pelo preço total. As subscrições podem ser geridas pelo utilizador e a renovação automática pode ser desactivada acedendo às Definições de Conta do utilizador após a compra.","Tilaus uusiutuu automaattisesti, ellei automaattista uusimista kytketä pois päältä vähintään 24 tuntia ennen nykyisen kauden päättymistä. Maksu veloitetaan iTunes-tililtä oston vahvistamisen yhteydessä. Tililtä veloitetaan uusimisesta 24 tuntia ennen nykyisen kauden päättymistä koko hinta. Käyttäjä voi hallita tilauksia ja poistaa automaattisen uusimisen käytöstä menemällä käyttäjän tiliasetuksiin oston jälkeen.",يتم تجديد الاشتراك تلقائيًا ما لم يتم إيقاف التجديد التلقائي على مدار 24 ساعة على الأقل قبل نهاية الفترة الحالية. سيتم فرض رسوم على حساب iTunes عند تأكيد الشراء. سيتم فرض حساب على التجديد في غضون 24 ساعة قبل نهاية الفترة الحالية للسعر الكامل. قد يتم إدارة الاشتراكات من قبل المستخدم ويمكن إيقاف تشغيل التجديد التلقائي عن طريق الانتقال إلى إعدادات حساب المستخدم بعد الشراء.,訂閱自動續訂，除非自動續訂在當前時期結束之前至少24小時關閉。確認購買時將向iTunes帳戶收取付款。將在當前期限結束前的全價24小時內收取續期費用。訂閱可以由用戶管理，並且可以在購買後轉到用戶的帳戶設置來關閉自動續訂。
Monthly,Monthly,Monatlich,Mensuel,Mensualmente,每月,毎月,월간,Mensile,Miesięcznie,Ежемесячно,Mensal,Kuukausittain,شهريا,每月
Bi-Monthly,Bi-Monthly,Zweimonatlich,Bimensuel,Cada dos meses,双月刊,隔月,격월,Bimestrale,Co dwa miesiące,Два раза в месяц,Bimestral,Kahdesti kuukaudessa,كل شهرين,雙月
Quarterly,Quarterly,Vierteljährlich,Trimestrielle,Trimestral,季刊,四半期,분기별,Trimestrale,Kwartalnie,Ежеквартально,Trimestral,Neljännesvuosittain,ربعي,季刊
Yearly,Yearly,Jährlich,Annuel,Anualmente,每年,年間,연간,Annuale,Rocznie,Ежегодно,Anual,Vuosittain,سنوي,每年
TestFlight,TestFlight,TestFlight,TestFlight,TestFlight,TestFlight,TestFlight,TestFlight,TestFlight,TestFlight,TestFlight,TestFlight,TestFlight,TestFlight,TestFlight
Permanent,Permanent,Dauerhaft,Permanent,Permanente,永久性,正社員,영구,Permanente,Na stałe,Постоянно,Permanente,Pysyvä,دائم,永恆的
No Subscription,No Subscription,Kein Abonnement,Pas d'abonnement,Sin suscripción,不订阅,サブスクリプションなし,구독 없음,Nessun abbonamento,Brak subskrypcji,Без подписки,Sem assinatura,Ei tilaus,لا اشتراك,沒有訂閱
Settings,Settings,Einstellungen,Paramètres,Ajustes,设置,設定,설정,Impostazioni,Ustawienia,Настройки,Definições,Asetukset,إعدادات,設定
